COURSE,E19_LEARNING,F20_LEARNING,E20_LEARNING,F21_LEARNING,E21_LEARNING,F22_LEARNING,E22_LEARNING,F23_LEARNING,E23_LEARNING,F24_LEARNING,E24_LEARNING,F25_LEARNING,E19_MOTIVATION,F20_MOTIVATION,E20_MOTIVATION,F21_MOTIVATION,E21_MOTIVATION,F22_MOTIVATION,E22_MOTIVATION,F23_MOTIVATION,E23_MOTIVATION,F24_MOTIVATION,E24_MOTIVATION,F25_MOTIVATION,E19_FEEDBACK,F20_FEEDBACK,E20_FEEDBACK,F21_FEEDBACK,E21_FEEDBACK,F22_FEEDBACK,E22_FEEDBACK,F23_FEEDBACK,E23_FEEDBACK,F24_FEEDBACK,E24_FEEDBACK,F25_FEEDBACK,E19_WORKLOAD,F20_WORKLOAD,E20_WORKLOAD,F21_WORKLOAD,E21_WORKLOAD,F22_WORKLOAD,E22_WORKLOAD,F23_WORKLOAD,E23_WORKLOAD,F24_WORKLOAD,E24_WORKLOAD,F25_WORKLOAD
01001,,,,,,,,,"[10, 23, 85, 271, 315]",,"[1, 22, 55, 203, 408]",,,,,,,,,,"[30, 76, 180, 270, 137]",,"[16, 70, 163, 262, 170]",,,,,,,,,,"[25, 71, 124, 286, 187]",,"[14, 36, 123, 283, 221]",,,,,,,,,,"[12, 72, 206, 243, 161]",,"[8, 42, 218, 248, 160]",
01002,,,,,,,,,,"[5, 25, 65, 179, 145]",,"[4, 14, 45, 151, 172]",,,,,,,,,,"[22, 57, 119, 140, 70]",,"[13, 41, 88, 151, 87]",,,,,,,,,,"[29, 82, 98, 132, 64]",,"[8, 38, 86, 158, 89]",,,,,,,,,,"[6, 39, 152, 151, 53]",,"[4, 42, 148, 135, 49]"
01003,,,,,,,,,"[0, 2, 11, 44, 74]",,"[0, 1, 4, 32, 88]",,,,,,,,,,"[1, 6, 22, 36, 63]",,"[2, 4, 8, 57, 54]",,,,,,,,,,"[3, 9, 17, 41, 57]",,"[0, 4, 18, 37, 66]",,,,,,,,,,"[1, 15, 38, 45, 28]",,"[1, 4, 46, 52, 22]",
01004,,,,,,,,,,"[0, 1, 4, 21, 52]",,"[0, 0, 6, 23, 55]",,,,,,,,,,"[1, 2, 13, 30, 30]",,"[2, 0, 14, 32, 35]",,,,,,,,,,"[1, 7, 14, 30, 24]",,"[3, 3, 15, 26, 36]",,,,,,,,,,"[3, 1, 32, 33, 6]",,"[1, 5, 27, 32, 16]"
01005,,,"[3, 10, 27, 142, 270]",,"[6, 8, 38, 115, 275]",,"[1, 7, 21, 88, 228]",,"[0, 0, 1, 1, 2]",,,,,,"[21, 31, 108, 184, 102]",,"[21, 42, 94, 164, 116]",,"[11, 30, 80, 134, 84]",,"[0, 1, 1, 1, 1]",,,,,,"[15, 34, 61, 160, 175]",,"[10, 28, 59, 165, 173]",,"[5, 26, 40, 136, 130]",,"[0, 0, 1, 2, 1]",,,,,,"[3, 41, 125, 176, 99]",,"[6, 35, 132, 156, 106]",,"[3, 21, 96, 118, 97]",,"[0, 0, 2, 1, 1]",,,
01006,,,"[0, 0, 3, 15, 21]",,"[0, 3, 3, 17, 38]",,"[2, 0, 4, 7, 40]",,"[0, 0, 0, 0, 0]",,,,,,"[0, 4, 10, 15, 10]",,"[2, 2, 15, 26, 14]",,"[1, 2, 7, 13, 30]",,"[0, 0, 0, 0, 0]",,,,,,"[1, 3, 3, 19, 12]",,"[2, 5, 12, 28, 13]",,"[3, 0, 2, 20, 27]",,"[0, 0, 0, 0, 0]",,,,,,"[1, 2, 13, 17, 6]",,"[0, 3, 15, 21, 21]",,"[2, 2, 15, 20, 14]",,"[0, 0, 0, 0, 0]",,,
01015,,,"[0, 2, 0, 20, 17]",,"[0, 1, 2, 15, 14]",,"[0, 1, 2, 9, 18]",,"[0, 0, 1, 0, 1]",,,,,,"[2, 5, 11, 18, 3]",,"[4, 4, 6, 15, 3]",,"[1, 8, 3, 7, 11]",,"[0, 1, 0, 0, 1]",,,,,,"[3, 5, 11, 10, 10]",,"[1, 1, 8, 13, 9]",,"[0, 1, 4, 8, 16]",,"[0, 1, 0, 0, 1]",,,,,,"[0, 1, 14, 16, 8]",,"[0, 2, 12, 15, 3]",,"[1, 3, 10, 8, 7]",,"[0, 0, 1, 0, 1]",,,
01016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01017,,,"[3, 5, 37, 104, 121]",,"[2, 5, 24, 96, 77]",,"[5, 4, 33, 65, 29]",,"[3, 6, 22, 46, 25]",,"[0, 11, 18, 41, 32]",,,,"[4, 16, 74, 101, 75]",,"[5, 24, 41, 90, 38]",,"[7, 20, 40, 46, 17]",,"[8, 15, 30, 34, 14]",,"[6, 20, 33, 29, 13]",,,,"[3, 11, 43, 106, 105]",,"[1, 7, 31, 97, 62]",,"[1, 16, 26, 54, 34]",,"[5, 14, 20, 43, 18]",,"[1, 12, 21, 38, 28]",,,,"[12, 46, 152, 50, 10]",,"[5, 37, 96, 50, 9]",,"[7, 29, 61, 24, 10]",,"[4, 15, 40, 28, 14]",,"[1, 8, 43, 28, 20]",
01018,,,"[0, 0, 0, 11, 25]",,"[0, 1, 4, 9, 18]",,"[0, 0, 0, 6, 14]",,"[0, 1, 0, 8, 16]",,"[1, 0, 3, 5, 31]",,,,"[0, 1, 4, 10, 21]",,"[1, 2, 2, 9, 18]",,"[0, 0, 2, 8, 10]",,"[0, 0, 2, 9, 14]",,"[2, 1, 4, 6, 27]",,,,"[0, 0, 2, 11, 23]",,"[0, 0, 1, 10, 21]",,"[0, 0, 0, 4, 16]",,"[0, 0, 0, 5, 19]",,"[1, 0, 1, 6, 32]",,,,"[0, 3, 28, 5, 0]",,"[1, 8, 15, 6, 2]",,"[1, 4, 14, 1, 0]",,"[1, 2, 13, 7, 2]",,"[1, 3, 25, 10, 1]",
