COURSE,E19_LEARNING,F20_LEARNING,E20_LEARNING,F21_LEARNING,E21_LEARNING,F22_LEARNING,E22_LEARNING,F23_LEARNING,E23_LEARNING,F24_LEARNING,E24_LEARNING,F25_LEARNING,E19_MOTIVATION,F20_MOTIVATION,E20_MOTIVATION,F21_MOTIVATION,E21_MOTIVATION,F22_MOTIVATION,E22_MOTIVATION,F23_MOTIVATION,E23_MOTIVATION,F24_MOTIVATION,E24_MOTIVATION,F25_MOTIVATION,E19_FEEDBACK,F20_FEEDBACK,E20_FEEDBACK,F21_FEEDBACK,E21_FEEDBACK,F22_FEEDBACK,E22_FEEDBACK,F23_FEEDBACK,E23_FEEDBACK,F24_FEEDBACK,E24_FEEDBACK,F25_FEEDBACK,E19_WORKLOAD,F20_WORKLOAD,E20_WORKLOAD,F21_WORKLOAD,E21_WORKLOAD,F22_WORKLOAD,E22_WORKLOAD,F23_WORKLOAD,E23_WORKLOAD,F24_WORKLOAD,E24_WORKLOAD,F25_WORKLOAD
01001,,,,,,,,,"[10, 23, 85, 271, 315]",,"[1, 22, 55, 203, 408]",,,,,,,,,,"[30, 76, 180, 270, 137]",,"[16, 70, 163, 262, 170]",,,,,,,,,,"[25, 71, 124, 286, 187]",,"[14, 36, 123, 283, 221]",,,,,,,,,,"[12, 72, 206, 243, 161]",,"[8, 42, 218, 248, 160]",
01002,,,,,,,,,,"[5, 25, 65, 179, 145]",,,,,,,,,,,,"[22, 57, 119, 140, 70]",,,,,,,,,,,,"[29, 82, 98, 132, 64]",,,,,,,,,,,,"[6, 39, 152, 151, 53]",,
01003,,,,,,,,,"[0, 2, 11, 44, 74]",,"[0, 1, 4, 32, 88]",,,,,,,,,,"[1, 6, 22, 36, 63]",,"[2, 4, 8, 57, 54]",,,,,,,,,,"[3, 9, 17, 41, 57]",,"[0, 4, 18, 37, 66]",,,,,,,,,,"[1, 15, 38, 45, 28]",,"[1, 4, 46, 52, 22]",
01004,,,,,,,,,,"[0, 1, 4, 21, 52]",,,,,,,,,,,,"[1, 2, 13, 30, 30]",,,,,,,,,,,,"[1, 7, 14, 30, 24]",,,,,,,,,,,,"[3, 1, 32, 33, 6]",,
01017,,,"[3, 5, 37, 104, 121]",,"[2, 5, 24, 96, 77]",,"[5, 4, 33, 65, 29]",,"[3, 6, 22, 46, 25]",,"[0, 11, 18, 41, 32]",,,,"[4, 16, 74, 101, 75]",,"[5, 24, 41, 90, 38]",,"[7, 20, 40, 46, 17]",,"[8, 15, 30, 34, 14]",,"[6, 20, 33, 29, 13]",,,,"[3, 11, 43, 106, 105]",,"[1, 7, 31, 97, 62]",,"[1, 16, 26, 54, 34]",,"[5, 14, 20, 43, 18]",,"[1, 12, 21, 38, 28]",,,,"[12, 46, 152, 50, 10]",,"[5, 37, 96, 50, 9]",,"[7, 29, 61, 24, 10]",,"[4, 15, 40, 28, 14]",,"[1, 8, 43, 28, 20]",
01018,,,"[0, 0, 0, 11, 25]",,"[0, 1, 4, 9, 18]",,"[0, 0, 0, 6, 14]",,"[0, 1, 0, 8, 16]",,"[1, 0, 3, 5, 31]",,,,"[0, 1, 4, 10, 21]",,"[1, 2, 2, 9, 18]",,"[0, 0, 2, 8, 10]",,"[0, 0, 2, 9, 14]",,"[2, 1, 4, 6, 27]",,,,"[0, 0, 2, 11, 23]",,"[0, 0, 1, 10, 21]",,"[0, 0, 0, 4, 16]",,"[0, 0, 0, 5, 19]",,"[1, 0, 1, 6, 32]",,,,"[0, 3, 28, 5, 0]",,"[1, 8, 15, 6, 2]",,"[1, 4, 14, 1, 0]",,"[1, 2, 13, 7, 2]",,"[1, 3, 25, 10, 1]",
01019,,,"[0, 0, 2, 5, 8]",,"[0, 0, 3, 10, 13]",,"[0, 2, 6, 5, 9]",,"[1, 0, 1, 10, 8]",,"[2, 0, 10, 10, 6]",,,,"[0, 1, 2, 5, 7]",,"[0, 2, 3, 9, 12]",,"[0, 3, 5, 6, 6]",,"[2, 3, 5, 9, 1]",,"[1, 6, 5, 9, 5]",,,,"[1, 0, 1, 5, 8]",,"[0, 0, 3, 9, 14]",,"[0, 1, 3, 10, 6]",,"[2, 0, 6, 7, 4]",,"[0, 4, 6, 10, 6]",,,,"[1, 0, 11, 3, 0]",,"[1, 5, 12, 6, 2]",,"[1, 7, 8, 2, 3]",,"[1, 0, 12, 6, 1]",,"[0, 7, 8, 5, 6]",
01020,,,,"[0, 2, 6, 15, 11]",,"[2, 2, 3, 11, 23]",,"[0, 3, 7, 9, 8]",,"[1, 4, 8, 8, 4]",,,,,,"[2, 4, 9, 11, 8]",,"[3, 3, 12, 12, 11]",,"[3, 2, 6, 12, 4]",,"[5, 5, 8, 7, 0]",,,,,,"[0, 4, 6, 10, 14]",,"[0, 3, 6, 18, 14]",,"[1, 2, 1, 10, 13]",,"[2, 0, 3, 13, 7]",,,,,,"[0, 2, 13, 14, 5]",,"[1, 2, 17, 16, 5]",,"[0, 1, 12, 10, 4]",,"[0, 3, 11, 7, 4]",,
01025,,,"[0, 0, 0, 8, 27]",,"[0, 1, 0, 7, 24]",,"[0, 0, 1, 5, 19]",,"[0, 0, 4, 5, 17]",,"[0, 0, 2, 3, 30]",,,,"[0, 0, 4, 14, 17]",,"[0, 0, 0, 13, 18]",,"[0, 1, 1, 9, 14]",,"[0, 2, 4, 6, 13]",,"[0, 3, 3, 3, 26]",,,,"[0, 0, 0, 3, 32]",,"[0, 0, 1, 3, 27]",,"[0, 0, 1, 1, 23]",,"[0, 2, 0, 2, 21]",,"[0, 1, 1, 5, 28]",,,,"[0, 0, 15, 17, 3]",,"[0, 0, 16, 14, 1]",,"[0, 1, 13, 10, 1]",,"[0, 1, 10, 10, 4]",,"[0, 3, 16, 13, 3]",
01034,,,"[0, 0, 7, 18, 14]",,"[0, 0, 5, 24, 28]",,"[2, 1, 5, 10, 23]",,"[1, 1, 9, 28, 16]",,"[0, 3, 6, 16, 28]",,,,"[1, 4, 7, 20, 7]",,"[3, 3, 5, 25, 21]",,"[3, 3, 9, 10, 16]",,"[4, 7, 9, 20, 14]",,"[1, 5, 13, 13, 21]",,,,"[0, 4, 2, 17, 15]",,"[0, 1, 3, 19, 34]",,"[1, 4, 3, 8, 25]",,"[3, 5, 9, 19, 18]",,"[0, 2, 4, 15, 31]",,,,"[1, 4, 17, 13, 4]",,"[0, 3, 19, 27, 8]",,"[2, 2, 17, 10, 10]",,"[0, 3, 19, 26, 6]",,"[0, 5, 19, 19, 10]",
