COURSE,F18_LEARNING,E18_LEARNING,F19_LEARNING,E19_LEARNING,F20_LEARNING,E20_LEARNING,F21_LEARNING,E21_LEARNING,F22_LEARNING,E22_LEARNING,F23_LEARNING,E23_LEARNING,F24_LEARNING,F18_MOTIVATION,E18_MOTIVATION,F19_MOTIVATION,E19_MOTIVATION,F20_MOTIVATION,E20_MOTIVATION,F21_MOTIVATION,E21_MOTIVATION,F22_MOTIVATION,E22_MOTIVATION,F23_MOTIVATION,E23_MOTIVATION,F24_MOTIVATION,F18_FEEDBACK,E18_FEEDBACK,F19_FEEDBACK,E19_FEEDBACK,F20_FEEDBACK,E20_FEEDBACK,F21_FEEDBACK,E21_FEEDBACK,F22_FEEDBACK,E22_FEEDBACK,F23_FEEDBACK,E23_FEEDBACK,F24_FEEDBACK,F18_WORKLOAD,E18_WORKLOAD,F19_WORKLOAD,E19_WORKLOAD,F20_WORKLOAD,E20_WORKLOAD,F21_WORKLOAD,E21_WORKLOAD,F22_WORKLOAD,E22_WORKLOAD,F23_WORKLOAD,E23_WORKLOAD,F24_WORKLOAD
01001,,,,,,,,,,,,"[10, 23, 85, 271, 315]",,,,,,,,,,,,,"[30, 76, 180, 270, 137]",,,,,,,,,,,,,"[25, 71, 124, 286, 187]",,,,,,,,,,,,,"[12, 72, 206, 243, 161]",
01002,,,,,,,,,,,,,"[5, 25, 65, 179, 145]",,,,,,,,,,,,,"[22, 57, 119, 140, 70]",,,,,,,,,,,,,"[29, 82, 98, 132, 64]",,,,,,,,,,,,,"[6, 39, 152, 151, 53]"
01003,,,,,,,,,,,,"[0, 2, 11, 44, 74]",,,,,,,,,,,,,"[1, 6, 22, 36, 63]",,,,,,,,,,,,,"[3, 9, 17, 41, 57]",,,,,,,,,,,,,"[1, 15, 38, 45, 28]",
01004,,,,,,,,,,,,,"[0, 1, 4, 21, 52]",,,,,,,,,,,,,"[1, 2, 13, 30, 30]",,,,,,,,,,,,,"[1, 7, 14, 30, 24]",,,,,,,,,,,,,"[3, 1, 32, 33, 6]"
01005,,,,"[5, 6, 33, 106, 221]",,"[3, 10, 27, 142, 270]",,"[6, 8, 38, 115, 275]",,"[1, 7, 21, 88, 228]",,"[0, 0, 1, 1, 2]",,,,,"[8, 31, 79, 154, 99]",,"[21, 31, 108, 184, 102]",,"[21, 42, 94, 164, 116]",,"[11, 30, 80, 134, 84]",,"[0, 1, 1, 1, 1]",,,,,"[10, 24, 62, 148, 126]",,"[15, 34, 61, 160, 175]",,"[10, 28, 59, 165, 173]",,"[5, 26, 40, 136, 130]",,"[0, 0, 1, 2, 1]",,,,,"[3, 32, 126, 144, 65]",,"[3, 41, 125, 176, 99]",,"[6, 35, 132, 156, 106]",,"[3, 21, 96, 118, 97]",,"[0, 0, 2, 1, 1]",
01006,,,,"[1, 1, 2, 15, 18]",,"[0, 0, 3, 15, 21]",,"[0, 3, 3, 17, 38]",,"[2, 0, 4, 7, 40]",,"[0, 0, 0, 0, 0]",,,,,"[3, 2, 6, 14, 11]",,"[0, 4, 10, 15, 10]",,"[2, 2, 15, 26, 14]",,"[1, 2, 7, 13, 30]",,"[0, 0, 0, 0, 0]",,,,,"[1, 3, 5, 11, 17]",,"[1, 3, 3, 19, 12]",,"[2, 5, 12, 28, 13]",,"[3, 0, 2, 20, 27]",,"[0, 0, 0, 0, 0]",,,,,"[0, 3, 14, 11, 9]",,"[1, 2, 13, 17, 6]",,"[0, 3, 15, 21, 21]",,"[2, 2, 15, 20, 14]",,"[0, 0, 0, 0, 0]",
01015,,,,"[0, 2, 1, 10, 22]",,"[0, 2, 0, 20, 17]",,"[0, 1, 2, 15, 14]",,"[0, 1, 2, 9, 18]",,"[0, 0, 1, 0, 1]",,,,,"[0, 1, 9, 16, 9]",,"[2, 5, 11, 18, 3]",,"[4, 4, 6, 15, 3]",,"[1, 8, 3, 7, 11]",,"[0, 1, 0, 0, 1]",,,,,"[0, 2, 8, 15, 9]",,"[3, 5, 11, 10, 10]",,"[1, 1, 8, 13, 9]",,"[0, 1, 4, 8, 16]",,"[0, 1, 0, 0, 1]",,,,,"[0, 5, 8, 17, 5]",,"[0, 1, 14, 16, 8]",,"[0, 2, 12, 15, 3]",,"[1, 3, 10, 8, 7]",,"[0, 0, 1, 0, 1]",
01017,,,,"[0, 3, 17, 73, 87]",,"[3, 5, 37, 104, 121]",,"[2, 5, 24, 96, 77]",,"[5, 4, 33, 65, 29]",,"[3, 6, 22, 46, 25]",,,,,"[1, 5, 29, 82, 61]",,"[4, 16, 74, 101, 75]",,"[5, 24, 41, 90, 38]",,"[7, 20, 40, 46, 17]",,"[8, 15, 30, 34, 14]",,,,,"[3, 6, 29, 89, 53]",,"[3, 11, 43, 106, 105]",,"[1, 7, 31, 97, 62]",,"[1, 16, 26, 54, 34]",,"[5, 14, 20, 43, 18]",,,,,"[10, 58, 93, 15, 3]",,"[12, 46, 152, 50, 10]",,"[5, 37, 96, 50, 9]",,"[7, 29, 61, 24, 10]",,"[4, 15, 40, 28, 14]",
01018,,,,"[0, 1, 2, 11, 20]",,"[0, 0, 0, 11, 25]",,"[0, 1, 4, 9, 18]",,"[0, 0, 0, 6, 14]",,"[0, 1, 0, 8, 16]",,,,,"[0, 2, 5, 8, 19]",,"[0, 1, 4, 10, 21]",,"[1, 2, 2, 9, 18]",,"[0, 0, 2, 8, 10]",,"[0, 0, 2, 9, 14]",,,,,"[0, 0, 1, 8, 25]",,"[0, 0, 2, 11, 23]",,"[0, 0, 1, 10, 21]",,"[0, 0, 0, 4, 16]",,"[0, 0, 0, 5, 19]",,,,,"[0, 4, 20, 8, 2]",,"[0, 3, 28, 5, 0]",,"[1, 8, 15, 6, 2]",,"[1, 4, 14, 1, 0]",,"[1, 2, 13, 7, 2]",
01019,,,,"[0, 3, 10, 10, 8]",,"[0, 0, 2, 5, 8]",,"[0, 0, 3, 10, 13]",,"[0, 2, 6, 5, 9]",,"[1, 0, 1, 10, 8]",,,,,"[1, 4, 11, 9, 6]",,"[0, 1, 2, 5, 7]",,"[0, 2, 3, 9, 12]",,"[0, 3, 5, 6, 6]",,"[2, 3, 5, 9, 1]",,,,,"[1, 4, 9, 8, 9]",,"[1, 0, 1, 5, 8]",,"[0, 0, 3, 9, 14]",,"[0, 1, 3, 10, 6]",,"[2, 0, 6, 7, 4]",,,,,"[1, 8, 19, 3, 0]",,"[1, 0, 11, 3, 0]",,"[1, 5, 12, 6, 2]",,"[1, 7, 8, 2, 3]",,"[1, 0, 12, 6, 1]",
