COURSE,F22_LEARNING,F22_MOTIVATION,F22_FEEDBACK,F22_WORKLOAD
01002,,,,
01003,,,,
01004,,,,
01005,"[6, 8, 38, 115, 275]","[21, 42, 94, 164, 116]","[10, 28, 59, 165, 173]","[6, 35, 132, 156, 106]"
01006,"[0, 3, 3, 17, 38]","[2, 2, 15, 26, 14]","[2, 5, 12, 28, 13]","[0, 3, 15, 21, 21]"
01015,"[0, 1, 2, 15, 14]","[4, 4, 6, 15, 3]","[1, 1, 8, 13, 9]","[0, 2, 12, 15, 3]"
01016,,,,
01017,,,,
01018,,,,
01019,,,,
01020,"[2, 2, 3, 11, 23]","[3, 3, 12, 12, 11]","[0, 3, 6, 18, 14]","[1, 2, 17, 16, 5]"
01025,,,,
01034,,,,
01035,"[0, 1, 1, 14, 50]","[3, 1, 6, 17, 39]","[0, 5, 6, 16, 38]","[1, 18, 30, 13, 4]"
01037,"[1, 0, 9, 49, 97]","[0, 10, 26, 62, 58]","[2, 9, 24, 58, 63]","[6, 44, 56, 37, 12]"
01125,,,,
01227,"[0, 2, 2, 7, 18]","[1, 1, 1, 13, 11]","[2, 0, 4, 5, 16]","[0, 3, 22, 1, 1]"
01237,,,,
01238,"[0, 3, 3, 3, 3]","[1, 4, 4, 1, 2]","[0, 1, 1, 5, 5]","[0, 1, 4, 7, 0]"
01257,,,,
01325,"[2, 0, 6, 5, 6]","[3, 3, 6, 5, 2]","[1, 6, 2, 5, 5]","[1, 3, 10, 5, 0]"
01405,"[0, 0, 1, 2, 4]","[0, 0, 1, 1, 5]","[0, 0, 1, 2, 4]","[0, 0, 4, 2, 1]"
01410,"[1, 5, 3, 11, 7]","[2, 6, 6, 8, 5]","[1, 3, 6, 11, 6]","[0, 2, 15, 8, 2]"
01415,,,,
01418,,,,
01426,,,,
01527,,,,
01604,,,,
01606,"[0, 1, 0, 3, 0]","[0, 0, 1, 1, 2]","[0, 0, 1, 0, 3]","[0, 3, 1, 0, 0]"
01617,,,,
01621,"[0, 0, 0, 0, 2]","[0, 0, 1, 1, 0]","[0, 0, 0, 0, 2]","[0, 0, 0, 2, 0]"
01622,"[0, 0, 2, 5, 2]","[0, 3, 1, 4, 1]","[0, 2, 2, 4, 1]","[0, 2, 5, 2, 0]"
01666,"[0, 0, 0, 3, 3]","[0, 1, 2, 2, 1]","[1, 2, 0, 1, 2]","[0, 1, 4, 1, 0]"
01715,,,,
01716,"[0, 0, 0, 0, 5]","[0, 0, 0, 2, 3]","[0, 0, 1, 2, 2]","[0, 2, 3, 0, 0]"
01901,"[3, 8, 24, 38, 41]","[7, 19, 25, 38, 21]","[6, 10, 30, 28, 35]","[2, 8, 50, 36, 12]"
01904,,,,
01920,"[2, 11, 36, 84, 76]","[8, 16, 66, 73, 40]","[0, 5, 40, 75, 83]","[4, 25, 90, 69, 14]"
02101,,,,
02102,"[0, 5, 14, 16, 14]","[1, 4, 12, 20, 12]","[1, 5, 5, 19, 19]","[2, 7, 29, 8, 3]"
02105,"[1, 6, 17, 48, 76]","[11, 9, 17, 53, 58]","[7, 13, 25, 52, 51]","[5, 22, 80, 35, 6]"
02110,,,,
02121,,,,
02122,"[0, 2, 3, 2, 7]","[0, 2, 3, 2, 6]","[2, 1, 2, 7, 2]","[1, 4, 6, 2, 1]"
02128,"[0, 0, 0, 5, 4]","[0, 1, 1, 5, 2]","[0, 0, 0, 6, 3]","[1, 4, 2, 0, 2]"
02132,,,,
02135,"[0, 0, 3, 14, 12]","[0, 2, 6, 11, 10]","[0, 1, 4, 13, 10]","[0, 2, 17, 6, 4]"
02138,,,,
02139,"[0, 4, 7, 17, 9]","[1, 2, 8, 13, 9]","[2, 6, 16, 7, 2]","[4, 6, 15, 7, 1]"
02141,"[1, 3, 9, 19, 16]","[5, 12, 11, 12, 7]","[7, 5, 13, 14, 8]","[2, 10, 20, 10, 5]"
02148,,,,
02155,,,,
02156,,,,
02157,,,,
02158,,,,
02159,,,,
02160,"[0, 1, 1, 2, 9]","[0, 0, 2, 3, 8]","[1, 0, 5, 2, 5]","[0, 1, 4, 3, 5]"
02161,"[6, 7, 13, 16, 4]","[11, 12, 15, 6, 2]","[8, 9, 22, 6, 1]","[2, 10, 25, 8, 1]"
02162,,,,
02170,"[0, 1, 8, 35, 28]","[0, 5, 12, 26, 28]","[1, 7, 24, 27, 12]","[7, 25, 30, 5, 4]"
02180,"[0, 4, 10, 43, 26]","[2, 5, 10, 41, 24]","[5, 11, 19, 31, 16]","[2, 9, 35, 31, 4]"
02182,"[1, 1, 3, 3, 4]","[4, 1, 1, 3, 3]","[0, 1, 1, 5, 5]","[0, 0, 1, 6, 5]"
02191,,,,
02192,"[0, 5, 2, 2, 6]","[1, 4, 2, 2, 6]","[4, 5, 3, 0, 3]","[0, 3, 7, 2, 3]"
02193,"[1, 0, 1, 0, 4]","[1, 0, 0, 2, 3]","[1, 2, 1, 1, 1]","[1, 1, 3, 1, 0]"
02203,,,,
02204,"[0, 0, 0, 0, 3]","[0, 0, 0, 0, 3]","[0, 0, 0, 0, 3]","[0, 2, 1, 0, 0]"
02205,"[0, 2, 0, 1, 0]","[1, 2, 0, 0, 0]","[0, 1, 1, 1, 0]","[0, 0, 0, 2, 1]"
02209,,,,
02211,"[1, 2, 1, 2, 1]","[1, 2, 1, 1, 2]","[0, 1, 3, 2, 1]","[0, 0, 3, 1, 3]"
02217,,,,
02221,"[7, 19, 24, 18, 13]","[14, 22, 19, 15, 10]","[19, 15, 19, 13, 14]","[3, 12, 49, 9, 5]"
02223,,,,
02224,"[0, 1, 0, 3, 0]","[0, 0, 2, 2, 0]","[0, 0, 0, 3, 1]","[0, 0, 2, 2, 0]"
02229,,,,
02232,,,,
02233,"[2, 3, 14, 24, 12]","[2, 6, 15, 16, 15]","[8, 8, 19, 12, 6]","[4, 5, 31, 10, 3]"
02234,,,,
02238,"[0, 2, 3, 4, 6]","[3, 1, 1, 6, 4]","[2, 2, 6, 4, 1]","[0, 0, 3, 9, 3]"
02239,,,,
02242,,,,
02244,"[2, 5, 8, 13, 13]","[4, 7, 10, 11, 9]","[2, 3, 7, 15, 14]","[1, 2, 19, 15, 4]"
02246,,,,
02247,"[0, 1, 5, 9, 11]","[0, 1, 3, 12, 10]","[1, 1, 7, 6, 11]","[1, 2, 12, 8, 3]"
02249,,,,
02255,"[0, 1, 1, 9, 14]","[0, 2, 2, 5, 16]","[0, 0, 1, 5, 19]","[2, 4, 13, 5, 1]"
02256,"[0, 4, 5, 2, 5]","[2, 2, 4, 3, 5]","[0, 0, 0, 6, 10]","[0, 3, 5, 7, 1]"
02257,"[0, 1, 1, 1, 1]","[0, 0, 0, 3, 1]","[0, 2, 1, 0, 1]","[0, 1, 3, 0, 0]"
02258,,,,
02261,,,,
02263,,,,
02266,,,,
02267,,,,
02268,"[2, 1, 1, 5, 7]","[2, 0, 3, 4, 6]","[0, 0, 3, 6, 6]","[0, 1, 8, 5, 1]"
02269,,,,
02282,"[1, 1, 8, 8, 20]","[2, 7, 6, 9, 13]","[2, 3, 6, 10, 16]","[1, 5, 13, 12, 6]"
02285,,,,
02287,,,,
02289,,,,
02291,"[3, 2, 17, 12, 18]","[3, 2, 16, 14, 17]","[0, 5, 12, 15, 20]","[3, 6, 31, 9, 3]"
02312,,,,
02314,,,,
02318,"[4, 4, 4, 6, 2]","[5, 7, 4, 2, 2]","[7, 5, 6, 2, 0]","[0, 0, 10, 5, 5]"
02320,"[3, 3, 2, 2, 0]","[6, 2, 1, 1, 0]","[3, 5, 1, 0, 0]","[0, 1, 2, 2, 4]"
02321,,,,
02322,"[4, 5, 6, 18, 9]","[8, 7, 11, 9, 7]","[11, 7, 13, 5, 4]","[1, 2, 14, 14, 10]"
02323,"[1, 1, 5, 5, 13]","[1, 2, 6, 7, 9]","[0, 1, 2, 11, 11]","[3, 3, 8, 8, 3]"
02324,"[1, 3, 3, 5, 2]","[3, 4, 1, 4, 2]","[2, 3, 2, 5, 1]","[0, 5, 4, 2, 2]"
02326,"[0, 2, 13, 19, 19]","[4, 5, 14, 18, 11]","[5, 10, 9, 16, 12]","[1, 2, 17, 17, 15]"
02327,"[0, 4, 11, 19, 12]","[1, 2, 17, 18, 7]","[2, 5, 14, 12, 12]","[2, 1, 27, 13, 2]"
02332,,,,
02346,"[11, 9, 6, 5, 3]","[15, 7, 6, 4, 2]","[9, 10, 9, 3, 3]","[0, 2, 18, 7, 7]"
02362,"[1, 0, 4, 1, 0]","[3, 1, 1, 1, 0]","[1, 0, 0, 1, 4]","[1, 0, 0, 3, 2]"
02363,"[0, 5, 4, 6, 6]","[1, 4, 4, 4, 7]","[1, 3, 6, 7, 4]","[1, 1, 11, 6, 2]"
02369,,,,
02393,,,,
02402,"[0, 1, 10, 34, 38]","[1, 8, 26, 33, 14]","[0, 0, 15, 45, 23]","[2, 10, 51, 17, 1]"
02403,"[0, 0, 4, 20, 26]","[2, 4, 15, 15, 13]","[4, 3, 10, 25, 7]","[2, 12, 24, 8, 3]"
02405,,,,
02407,,,,
02409,,,,
02411,"[1, 1, 15, 15, 23]","[4, 6, 10, 17, 16]","[5, 7, 23, 11, 7]","[1, 4, 33, 11, 4]"
02413,,,,
02417,"[0, 3, 2, 16, 31]","[0, 6, 6, 18, 22]","[1, 3, 8, 17, 23]","[0, 2, 16, 20, 14]"
02418,,,,
