COURSE,E19_GRADE_12,F20_GRADE_12,E20_GRADE_12,F21_GRADE_12,E21_GRADE_12,F22_GRADE_12,E22_GRADE_12,F23_GRADE_12,E23_GRADE_12,F24_GRADE_12,E24_GRADE_12,F25_GRADE_12,E19_GRADE_10,F20_GRADE_10,E20_GRADE_10,F21_GRADE_10,E21_GRADE_10,F22_GRADE_10,E22_GRADE_10,F23_GRADE_10,E23_GRADE_10,F24_GRADE_10,E24_GRADE_10,F25_GRADE_10,E19_GRADE_7,F20_GRADE_7,E20_GRADE_7,F21_GRADE_7,E21_GRADE_7,F22_GRADE_7,E22_GRADE_7,F23_GRADE_7,E23_GRADE_7,F24_GRADE_7,E24_GRADE_7,F25_GRADE_7,E19_GRADE_4,F20_GRADE_4,E20_GRADE_4,F21_GRADE_4,E21_GRADE_4,F22_GRADE_4,E22_GRADE_4,F23_GRADE_4,E23_GRADE_4,F24_GRADE_4,E24_GRADE_4,F25_GRADE_4,E19_GRADE_02,F20_GRADE_02,E20_GRADE_02,F21_GRADE_02,E21_GRADE_02,F22_GRADE_02,E22_GRADE_02,F23_GRADE_02,E23_GRADE_02,F24_GRADE_02,E24_GRADE_02,F25_GRADE_02,E19_GRADE_00,F20_GRADE_00,E20_GRADE_00,F21_GRADE_00,E21_GRADE_00,F22_GRADE_00,E22_GRADE_00,F23_GRADE_00,E23_GRADE_00,F24_GRADE_00,E24_GRADE_00,F25_GRADE_00,E19_GRADE_MINUS_3,F20_GRADE_MINUS_3,E20_GRADE_MINUS_3,F21_GRADE_MINUS_3,E21_GRADE_MINUS_3,F22_GRADE_MINUS_3,E22_GRADE_MINUS_3,F23_GRADE_MINUS_3,E23_GRADE_MINUS_3,F24_GRADE_MINUS_3,E24_GRADE_MINUS_3,F25_GRADE_MINUS_3,E19_PASSED,F20_PASSED,E20_PASSED,F21_PASSED,E21_PASSED,F22_PASSED,E22_PASSED,F23_PASSED,E23_PASSED,F24_PASSED,E24_PASSED,F25_PASSED,E19_FAILED,F20_FAILED,E20_FAILED,F21_FAILED,E21_FAILED,F22_FAILED,E22_FAILED,F23_FAILED,E23_FAILED,F24_FAILED,E24_FAILED,F25_FAILED,E19_ABSENT,F20_ABSENT,E20_ABSENT,F21_ABSENT,E21_ABSENT,F22_ABSENT,E22_ABSENT,F23_ABSENT,E23_ABSENT,F24_ABSENT,E24_ABSENT,F25_ABSENT
01001,No data,No data,No data,No data,No data,No data,No data,No data,162.0,0.0,143.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,231.0,0.0,170.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,308.0,11.0,336.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,125.0,19.0,150.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,27.0,9.0,92.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,0.0,142.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,124.0,24.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,91.0,8.0,70.0,No data
01002,No data,No data,No data,No data,No data,No data,No data,No data,No data,82.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,220.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,265.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,204.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,41.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,198.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,101.0,No data,No data
01003,No data,No data,No data,No data,No data,No data,No data,No data,50,0.0,27,No data,No data,No data,No data,No data,No data,No data,No data,No data,41,0.0,36,No data,No data,No data,No data,No data,No data,No data,No data,No data,53,4.0,57,No data,No data,No data,No data,No data,No data,No data,No data,No data,19,5.0,18,No data,No data,No data,No data,No data,No data,No data,No data,No data,5,3.0,16,No data,No data,No data,No data,No data,No data,No data,No data,No data,0,0.0,20,No data,No data,No data,No data,No data,No data,No data,No data,No data,0,0.0,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,0,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,19,7.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,11,No data,9,No data
01004,No data,No data,No data,No data,No data,No data,No data,No data,No data,29.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,42.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,59.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,29.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,4.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,36.0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,16,No data,No data
01017,27,0,59,No data,39,0,33,No data,14,0.0,9,No data,53,0,112,No data,87,2,63,No data,26,1.0,15,No data,84,3,140,No data,101,2,105,No data,53,4.0,58,No data,63,5,109,No data,80,2,73,No data,42,5.0,44,No data,30,4,36,No data,18,1,16,No data,22,7.0,26,No data,34,5,17,No data,14,0,11,No data,46,2.0,41,No data,4,0,20,No data,6,0,3,No data,9,0.0,10,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,14,1,11,No data,11,No data,15,No data,1,No data,No data,No data
01018,12,0,12,No data,15,No data,16,No data,21,No data,25,No data,20,0,18,No data,14,No data,10,No data,9,No data,14,No data,15,3,21,No data,11,No data,12,No data,12,No data,8,No data,6,0,5,No data,9,No data,3,No data,7,No data,4,No data,3,1,1,No data,6,No data,2,No data,1,No data,4,No data,2,0,1,No data,3,No data,2,No data,0,No data,0,No data,1,0,0,No data,0,No data,0,No data,1,No data,1,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,6,1,5,No data,3,No data,3,No data,2,No data,2,No data
01019,6,0,2,No data,8,No data,14,No data,4,0,1,No data,24,0,16,No data,7,No data,18,No data,9,0,11,No data,14,2,19,No data,23,No data,22,No data,18,1,36,No data,13,1,17,No data,19,No data,8,No data,11,2,14,No data,6,0,4,No data,2,No data,4,No data,7,0,12,No data,11,2,4,No data,4,No data,2,No data,9,1,11,No data,0,0,0,No data,1,No data,0,No data,2,0,7,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,5,No data,2,No data,2,No data,6,No data,No data,2,No data,No data
01020,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,76,No data,64,No data,68,No data,65,No data,No data,No data,No data,No data,0,No data,8,No data,8,No data,15,No data,No data,No data,No data,No data,2,No data,6,No data,5,No data,6,No data,No data
01025,18,No data,15,No data,10,No data,8,No data,12,0,10,No data,28,No data,19,No data,22,No data,19,No data,13,1,8,No data,19,No data,10,No data,15,No data,17,No data,16,1,16,No data,5,No data,10,No data,11,No data,4,No data,4,1,7,No data,2,No data,2,No data,4,No data,2,No data,3,0,5,No data,4,No data,0,No data,4,No data,5,No data,8,2,8,No data,2,No data,0,No data,0,No data,0,No data,1,0,3,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2,No data,4,No data,3,No data,3,No data,1,No data,2,No data
01034,18,0,8,1,17,No data,10,0,15,0,27,No data,29,1,18,3,27,No data,27,0,47,0,44,No data,37,3,25,4,41,No data,33,1,40,4,52,No data,21,4,14,7,27,No data,22,0,18,4,29,No data,9,1,17,3,14,No data,8,1,15,6,18,No data,20,1,25,4,15,No data,22,2,24,1,26,No data,3,1,7,0,4,No data,3,2,3,0,2,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,10,No data,9,No data,10,No data,31,No data,7,2,9,No data
01035,16,19,16,14,54,18,8,6,38,7,13,No data,57,23,37,9,79,22,26,16,62,17,46,No data,74,45,50,39,71,34,64,46,62,26,61,No data,58,27,52,28,57,19,46,22,22,22,50,No data,30,31,40,28,28,24,24,16,20,13,22,No data,63,28,58,44,40,22,54,28,30,17,36,No data,15,7,13,7,3,6,2,5,5,1,8,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,17,10,15,11,18,17,13,15,12,8,14,No data
01037,0,31,0,22,0,20,0,12,0,19,0,No data,1,70,0,37,2,37,1,18,2,34,1,No data,5,96,1,62,2,56,3,26,4,41,3,No data,5,80,1,69,2,71,3,40,6,40,9,No data,2,24,6,29,0,37,2,46,1,28,7,No data,7,56,8,49,0,54,10,62,3,57,5,No data,2,0,1,2,0,6,1,6,1,3,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2,23,1,22,1,13,2,16,2,9,2,No data
01125,35,No data,18,No data,25,No data,No data,18,No data,11,No data,No data,19,No data,26,No data,16,No data,No data,23,No data,18,No data,No data,10,No data,12,No data,2,No data,No data,4,No data,4,No data,No data,5,No data,6,No data,0,No data,No data,0,No data,0,No data,No data,0,No data,2,No data,1,No data,No data,0,No data,1,No data,No data,0,No data,0,No data,0,No data,No data,0,No data,0,No data,No data,0,No data,0,No data,0,No data,No data,0,No data,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,2,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
