COURSE,E26_GRADE_12,E26_GRADE_10,E26_GRADE_7,E26_GRADE_4,E26_GRADE_02,E26_GRADE_00,E26_GRADE_MINUS_3,E26_PASSED,E26_FAILED,E26_ABSENT
01001,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01002,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01003,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01004,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01017,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01018,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01020,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01025,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01034,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01035,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01037,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01125,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01227,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01237,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01238,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01257,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01325,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01405,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01415,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01418,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01425,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01426,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01527,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01617,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01621,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01622,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01666,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01715,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01716,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01811,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01822,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01904,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01911,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01922,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
