COURSE,F25_GRADE_12,F25_GRADE_10,F25_GRADE_7,F25_GRADE_4,F25_GRADE_02,F25_GRADE_00,F25_GRADE_MINUS_3,F25_PASSED,F25_FAILED,F25_ABSENT
01001,1.0,7.0,20.0,21.0,11.0,22.0,0.0,No data,No data,2.0
01002,85.0,129.0,229.0,172.0,127.0,182.0,0.0,No data,No data,78.0
01003,0.0,1.0,2.0,5.0,5.0,0.0,0.0,No data,No data,1.0
01004,20.0,18.0,58.0,37.0,15.0,33.0,0.0,No data,No data,11.0
01017,0.0,1.0,9.0,4.0,0.0,2.0,0.0,No data,No data,1.0
01018,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01019,1,1,0,1,0,2,0,No data,No data,2
01020,No data,No data,No data,No data,No data,No data,No data,67,6,6
01025,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01034,0,0,0,5,3,3,0,No data,No data,1
01035,7,14,38,13,17,27,3,No data,No data,7
01037,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01125,19,15,9,0,0,0,0,No data,No data,1
01227,10,7,13,6,5,11,4,No data,No data,6
01237,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01238,8,3,1,0,1,0,0,No data,No data,No data
01257,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01325,7,10,23,12,5,8,0,No data,No data,3
01405,2,1,1,1,0,0,0,No data,No data,3
01410,1,3,13,13,8,4,6,No data,No data,7
01415,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01418,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01426,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01527,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01617,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01621,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01622,7,11,1,0,0,0,0,No data,No data,No data
01666,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01715,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01716,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01904,0,1,2,5,1,2,1,No data,No data,3
01910,1,4,1,1,0,3,1,No data,No data,4
01911,No data,No data,No data,No data,No data,No data,No data,39,28,15
01915,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01920,1,4,19,10,6,13,7,No data,No data,4
01922,84,211,194,86,31,57,10,No data,No data,61
02002,3,11,10,20,28,35,2,No data,No data,12
02003,1,2,3,8,16,13,0,No data,No data,3
02100,1,4,4,3,0,3,1,No data,No data,No data
02104,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02105,98,77,109,69,19,46,1,No data,No data,27
02110,0,1,3,8,3,5,1,No data,No data,3
02112,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02113,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02114,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02116,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02118,9,6,3,2,0,0,0,No data,No data,1
02122,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02123,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02132,0,3,1,0,0,0,0,No data,No data,No data
02135,16,17,24,11,7,6,1,No data,No data,3
02138,0,1,7,3,3,4,2,No data,No data,3
02139,11,24,21,3,1,9,1,No data,No data,9
02141,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02143,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02148,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02155,1,1,0,1,3,2,0,No data,No data,No data
02156,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02157,1,3,4,3,10,5,5,No data,No data,2
02158,0,1,2,1,0,0,0,No data,No data,No data
02159,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02160,13,52,21,1,0,1,0,No data,No data,8
02161,21,33,40,11,0,2,0,No data,No data,25
02162,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02170,81,41,19,8,5,5,1,No data,No data,3
02180,27,74,101,65,2,0,0,No data,No data,30
02182,3,8,16,8,2,1,0,No data,No data,4
02191,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02192,15,45,2,1,0,0,0,No data,No data,No data
02193,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02195,3,5,18,8,3,4,2,No data,No data,10
02196,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02201,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02203,0,0,2,1,0,1,0,No data,No data,1
02205,0,2,7,4,1,2,2,No data,No data,1
02209,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02211,2,14,12,3,0,0,0,No data,No data,3
02214,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02225,80,73,18,13,0,0,0,No data,No data,3
02226,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02232,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02233,49,79,61,26,2,6,0,No data,No data,12
02234,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02238,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02239,2,1,1,0,0,0,0,No data,No data,No data
02242,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02244,26,49,71,17,1,3,0,No data,No data,3
02245,0,0,0,3,2,0,0,No data,No data,No data
02246,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02247,20,19,16,11,3,6,0,No data,No data,7
02249,2,0,3,3,1,4,0,No data,No data,No data
