COURSE,NAME,DANISH_NAME,LANGUAGE,ECTS_POINTS,COURSE_TYPE,EXAM_TYPE,TIME_OF_WEEK,COURSE_DURATION,EXAM_AID,EXAMINER,ASSIGNMENTS,GRADE_TYPE,CAMPUS,SEMESTER_PERIOD,MAIN_RESPONSIBLE_NAME,CO_RESPONSIBLE_1_NAME,CO_RESPONSIBLE_2_NAME,CO_RESPONSIBLE_3_NAME,CO_RESPONSIBLE_4_NAME,STUDY_LINES,AVERAGE_GRADE,PERCENT_PASSED,TOTAL_STUDENTS,WORKLOAD_AVERAGE_SCORE,LEARNING_AVERAGE_SCORE,MOTIVATION_AVERAGE_SCORE,FEEDBACK_AVERAGE_SCORE
01001,Mathematics 1a (Polytechnical foundation),Matematik 1a (Polyteknisk grundlag),Danish,10.0,BSc,Written exam,['Special schedule'],DURATION_13_WEEKS,All aid,EXAMINER_EXTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Ulrik Engelund Pedersen,Pieter Hendrik Turdus Beelen,NO_DATA,NO_DATA,NO_DATA,"['BSc, Architectural Engineering', 'BSc, Artificial Intelligence and Data', 'BSc, Biomedical Engineering', 'BSc, Chemistry and Technology', 'BSc, Civil Engineering', 'BSc, Computer Engineering', 'BSc, Cybertechnology', 'BSc, Data Science and Management', 'BSc, Design and Innovation', 'BSc, Design of Sustainable Energy Systems', 'BSc, Earth and Space Physics and Engineering', 'BSc, Electrical Engineering', 'BSc, Engineering Physics', 'BSc, Environmental Engineering', 'BSc, General Engineering', 'BSc, Human Life Science Engineering', 'BSc, Mathematics and Technology', 'BSc, Mechanical Engineering', 'BSc, Software Technology', 'BSc, Sustainable Energy Design']",7.11,79.5,2242,3.71,4.33,3.66,3.88
01002,Mathematics 1b (Polytechnical Foundation),Matematik 1b (polyteknisk grundlag),Danish,10.0,BSc,Written exam,['Special schedule'],DURATION_13_WEEKS,All aid,EXAMINER_EXTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Spring,Ulrik Engelund Pedersen,Jakob Lemvig,NO_DATA,NO_DATA,NO_DATA,"['BSc, Architectural Engineering', 'BSc, Artificial Intelligence and Data', 'BSc, Biomedical Engineering', 'BSc, Chemistry and Technology', 'BSc, Civil Engineering', 'BSc, Computer Engineering', 'BSc, Cybertechnology', 'BSc, Data Science and Management', 'BSc, Design and Innovation', 'BSc, Design of Sustainable Energy Systems', 'BSc, Earth and Space Physics and Engineering', 'BSc, Electrical Engineering', 'BSc, Engineering Physics', 'BSc, Environmental Engineering', 'BSc, General Engineering', 'BSc, Human Life Science Engineering', 'BSc, Mathematics and Technology', 'BSc, Mechanical Engineering', 'BSc, Software Technology', 'BSc, Sustainable Energy Design']",7.31,73.1,1111,3.51,4.04,3.44,3.3
01003,Mathematics 1a (Polytechnical foundation),Matematik 1a (Polyteknisk grundlag),English,10.0,BSc,Written exam,['Special schedule'],DURATION_13_WEEKS,All aid,EXAMINER_EXTERNAL,Mandatory reports,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Ulrik Engelund Pedersen,Pieter Hendrik Turdus Beelen,NO_DATA,NO_DATA,NO_DATA,"['BSc, General Engineering']",7.65,83.5,400,3.69,4.55,4.23,4.21
01004,Mathematics 1b (Polytechnical Foundation),Matematik 1b: (Polyteknisk grundlag),English,10.0,BSc,Written exam,['Special schedule'],DURATION_13_WEEKS,All aid,EXAMINER_EXTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Spring,Ulrik Engelund Pedersen,Jakob Lemvig,NO_DATA,NO_DATA,NO_DATA,"['BSc, General Engineering']",8.01,75.8,215,3.51,4.59,4.13,3.91
01017,Discrete Mathematics,Diskret matematik,Danish,5.0,BSc,Written exam,"['E2B (Autumn, Thurs 8-12)']",DURATION_13_WEEKS,All aid,EXAMINER_INTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,David Earl Roberson,Carsten Thomassen,NO_DATA,NO_DATA,NO_DATA,"['BEng, Healthcare Technology', 'BEng, Manufacturing and Management', 'BEng, Mobility, Transport and Logistics', 'BEng, Process and Innovation', 'BSc, Artificial Intelligence and Data', 'BSc, Civil Engineering', 'BSc, Cybertechnology', 'BSc, Data Science and Management', 'BSc, Human Life Science Engineering', 'BSc, Mathematics and Technology', 'BSc, Software Technology']",6.05,85.9,1948,3.14,4.06,3.57,3.94
01018,Discrete mathematics 2: algebra,Diskret matematik 2: algebra,English,5.0,BSc,Written exam,"['E3B (Autumn, Fri 13-17)']",DURATION_13_WEEKS,All aid,EXAMINER_INTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Maria Montanucci,Pieter Hendrik Turdus Beelen,NO_DATA,NO_DATA,NO_DATA,"['BSc, Mathematics and Technology']",8.46,90.7,353,3.07,4.59,4.39,4.68
01019,Discrete Mathematics,Diskret matematik,English,5.0,BSc,Written exam,"['E2B (Autumn, Thurs 8-12)']",DURATION_13_WEEKS,All aid,EXAMINER_INTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,David Earl Roberson,Carsten Thomassen,NO_DATA,NO_DATA,NO_DATA,"['BEng, Healthcare Technology', 'BSc, General Engineering']",6.05,84.1,446,3.18,4.08,3.74,4.0
01020,Advanced Linear Algebra,Videregående Lineær Algebra,Danish,5.0,BSc,Written exam,"['F2B (Spring, Thurs 8-12)']",DURATION_13_WEEKS,All aid,EXAMINER_INTERNAL,Mandatory exercises,PASS_OR_FAIL,CAMPUS_LYNGBY,Spring,Jakob Lemvig,Jens Karl Gravesen,NO_DATA,NO_DATA,NO_DATA,"['BSc, Mathematics and Technology']",Pass/Fail,84.5,323,3.57,3.93,3.38,4.04
01025,Advanced Mathematics 2 for Mathematics and Technology,Matematik 2 for Matematik og Teknologi,Danish,5.0,BSc,Written exam,"['E5A (Autumn, Wed 8-12)']",DURATION_13_WEEKS,All aid,EXAMINER_EXTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Peter Røgen,NO_DATA,NO_DATA,NO_DATA,NO_DATA,"['BSc, Mathematics and Technology']",7.54,86.6,389,3.55,4.71,4.42,4.81
01034,Advanced Engineering Mathematics 2,Matematik 2,English,5.0,BSc,Written exam,"['E1A (Autumn, Mon 8-12)']",DURATION_13_WEEKS,All aid,EXAMINER_INTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Marzieh Hasannasabjaldehbakhani,Morten Brøns,Mads Peter Sørensen,Poul Georg Hjorth,Kristian Uldall Kristiansen,"['BSc, Architectural Engineering', 'BSc, Civil Engineering', 'BSc, Cybertechnology', 'BSc, Earth and Space Physics and Engineering', 'BSc, Electrical Engineering', 'BSc, Environmental Engineering', 'BSc, General Engineering', 'BSc, Human Life Science Engineering', 'BSc, Mechanical Engineering']",5.87,76.0,1013,3.61,4.24,3.82,4.24
